,Review
964,"9/10 | OMG. wtf is this? 1 POINT FORM ME. xilari klinton is the only character missing in this
8 out of 23 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
965,9/10 | 
966,9/10 | 
967,"6/10 | You really have to pay attention to get every little thing but that makes it all worth it. I can't wait for more films from Jordan Peele
3 out of 6 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
968,"7/10 | I enjoyed Jordan Peele's restrained horror film very much. Mostly for the acting; Daniel Kaluuya shows us the growing unease his character feels, Allison Williams is cool and reasonable in the early stages, then menacing later on, while Catherine Keener was superb with her teacup and spoon antics. Peele gave us reasonable action when it was called for, and craziness at other times.
3 out of 6 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
969,"7/10 | Jordan Peele's directorial debut is really really good! This movie has great acting, a crazy (yet very cohesive) plot, and plenty of strong laugh-out-loud moments. More entertaining than scary, but it's REALLY entertaining.
3 out of 6 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
970,7/10 | 
971,"7/10 | Well, really hit my expectations, it starts being a funny movie and suddenly it turns darker. Ain't marrying a white girl
3 out of 6 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
972,8/10 | 
973,"6/10 | Didnt come across this on release in the UK but glad I caught it on TV record. Daniel Kaluuya is terrific and convincing as a talented young black photographer with a troubled childhood who finds himself toe curlingly patronised by his girlfriend's parents privileged white liberal friends. We know from the opening scene that there is something very nasty ahead.....But Chris's vulnerabilities are used against him to good effect and it becomes edge of seat stuff..
3 out of 6 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
974,"7/10 | Very smart movie with an amazing score that literally gave me chills. I love how weird stuff are happening but the explanation comes at the end. And that part is brilliant. Great introduction of characters and dialogue is funny and smart. I obviously knew how it would end but it doesn't make this movie worse with second watch. Peele and Aster are the new horror masters.
3 out of 6 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
975,7/10 | 
976,"1/10 | This was refreshing and original, I tend to seek these types of movies nowadays with all the reboots, remakes, part 7's and superhero stuff.

Get Out is unique, A very different take on Guess who's Coming To Dinner. It's a bit strange, Hitchcockian. Not really a horror movie, more on the WTF scale. Brain washing, cult like. Chris's best friend was funny, a breathe of fresh air. Is this what America is really like in terms of racism?
3 out of 6 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
977,"10/10 | As this film opens a young black man, lost in a suburb is attacked and abducted. We then switch to our protagonist Chris, another young black man, who is preparing to meet his white girlfriend, Rose's, parents for the first time. She assures him that they aren't racist but liberal to the point of cliché. Once at their large rural home Chris soon starts to feel uncomfortable; their black maid and gardener seem like characters from before the civil rights era and while outwardly friendly there is something a little off about the family. Rose's mother hypnotises him to stop him smoking but he is convinced that she did something more. A party thrown by the family only makes him more concerned but by the time he realises the real danger it may be too late.

I found this to be a really effective horror movie even though it features little obvious threat till the very end. In many ways I was reminded of 'The Wicker Man'; a protagonist goes somewhere of his own free will, finds things somewhat creepy then finally learns a horrifying truth. There were also obvious 'Stepford Wives' vibes with the way the other black characters at the family home and their neighbours behaved. As the film progressed the tension was constantly raising and although it was obvious that something bad was planned for Chris I didn't guess just how bad until he was told what it was. Some levity was provided by Chris's friend Rod, who was convinced that rural white folk wanted black men as their sex slaves! Daniel Kaluuya does a really fine job as Chris; he is rarely off screen and is convincing throughout. The supporting cast; notably Allison Williams as Rose and Catherine Keener and Bradley Whitford, as her parents are also impressive. Writer director Jordon Peele did a brilliant job; it is hard to believe this was his directorial debut. While it is obvious that there is a racial subtext to the story it doesn't feel like the viewer is being lectured to. Overall I'd definitely recommend this to horror fans who don't demand frequent violence."
978,6/10 | 
979,"1/10 | There are tons of films out there that use hypnotism in horrific ways. I like how this movie portrays just how fake and insidious liberals are but I like The Skeleton Key so much more. The Skeleton Key uses a much more suspenseful and mysterious formula for hypnotism horror.
3 out of 6 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
980,"4/10 | As a film, this was great; the plot was engaging and unexpected, the characters were constantly evolving, and the acting was very good. However, it doesn't strike me as a successful horror movie, because whilst there is a little bit of gore and some suspense, I didn't really feel very scared, just curious. It needed some more jump scares and more time to build suspense.
3 out of 6 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
981,"5/10 | The concept is a ripoff of Self/less very uninspired. Dialog and plot were serviceable but don't make the movie great.

Adequate performances, but good acting wasn't really needed. People just acted weird and/or creepy. The main actor was really good though.

Cinematography, sound and editing were great. Good atmosphere. Not really scary, at best creepy/unsettling.

It's an above average movie. Highly overrated. Not sure why, maybe cause of politics. 6/10
3 out of 6 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
982,"10/10 | When i'm looking at best horror movie list, i always see this film. So i want to watch it in one my movie nights. But i can't get what i expected. I like the films message and scenario but i don't get a thrill from its opening scene till last scene. Anyway if you want to see a good film you can watch it but if you want to be scared i can tell disappointedly this is not the movie that you are looking for.
3 out of 6 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
983,"8/10 | Get Out is horror thiller that dives much deeper into a commentary on the topic of race and racism in America today. This film does not leave you once you watch it, this film lingers in your thoughts well after the credits finish rolling. This was Jordan Peele's debut in directing a horror movie. He masterfully and subtly payed homage to classical horror films while still putting his own foot-print on the film. It specifically pays homage to The Stepford Wives and Night of the Living Dead. The film was casted beautifully and the two actors that stood out were Daniel Kaluuya who plays Chris Washington and Lil Rel Howery who plays Rod Williams. This was Daniel Kaluuya's first major role in a film, and I believe that he stepped up and his acting looked effortless. Lil Rel Howery was the perfect fit for the movie because he has starred in the role of comedic relief in many movies like: Uncle Drew and Tag. Next, the sound design gives the audience Toby Oliver and Jordan Peele work skillfully together to create the images in the film. There is an alluring scene where Chris is in the sunken place. This was very elegant and chaotic at the same time. They wanted to create a feeling of the sense of him floating in a black void with the screen above him. They achieved this by simulating Chris being uracistnderwater while he was on a dry set. Another great scene is when actor Betty Gabriel, playing the maid gets a close up of here crying and laughing at the same time while the camera was about 8 inches from her face.I would rate Get out an 8 out of 10 and a must see."
984,"9/10 | An expertly crafted story woven by the meticulous hands of Jordan Peele, with superb screenplay as an added bonus. A must see for anyone wanting a genuinely thrilling experience that will keep you on the edge of your seat throughout.
3 out of 6 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
985,8/10 | 
986,"8/10 | Watching this movie the first time was uncomfortable because that is exactly how you are supposed to feel. The plot twists were fun and unexpected but became more predictable as the movie evolved. Nevertheless, the movie was clever and the ending was very satisfying.

It took a second viewing to really see the genius of the writing. The entire movie is one double entendre after another. I can't wait for Peele's next offering.
3 out of 6 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
987,"9/10 | Not what I'd call a typical horror movie more a thriller. It keeps you wondering what's going on, and when you realise that's when things get very interesting. Well worth watching, you won't forget it.
3 out of 6 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
988,"1/10 | It's a nice and fresh movie. Surprisingly very very good movie !
3 out of 6 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
989,"1/10 | I'd heard great things about Get Out but I decided to put it on the back burner until last night. Get Out is nothing more than a rehash of Brian Yuzna's Society but without the grotesque physical transformations. It has its moments but ultimately it's all been done before.
3 out of 6 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
990,"7/10 | I get the anger from one side towards the other but this movie was not scarey or even remotely horrifying. What is scary is that it was released at all. The acting was dumb, the storyline was dumb and the movie was dumb. I'll keep watching movies that make a difference in attitudes, not jokes or preconceived notions of what is scary. This movie should never have been in the running for any award.
3 out of 6 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
991,"3/10 | The movie is a contemporary Frankenstein enhanced with a racial edge. It is indeed a horror movie as classified but carries none of the worn-out cliches of this genre like an eerie soundtrack, spooky settings, creepy kids, cheap jolts, paranormal events all of which test our intelligence and patience because we've seen them over and over again. Although the main idea is 200 years old, the movie doesn't dwell on it but only makes a passing reference, thus keeping its originality. All in all, this is a brilliantly made movie worth seeing.
3 out of 6 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
992,"5/10 | Biggest suprize of the year, thrilling yet seemingly crazy story with flawless script that is not unnecesery long and yet delivers smart lines which are put in the movie, greatly changing its darkness as story developes. You will want to find what is happening on screen and that will make you change your ending-ideas, with to much questions and little answers till perfect ending. Understantable academy award winner for the best screenplay. For now 9, but I have feeling that it may be 10 after second rewatch. Must see!
3 out of 6 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
993,"3/10 | It is a very smooth horror movie, 100% enjoyable.

But i just have a thought, what if the movie is changing the bad guys from white to black, will US people shout it is a super racist movie?
3 out of 6 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
994,"6/10 | As a general rule of thumb, I trust IMDb ratings to represent how good / bad a movie is. But there have been a couple of movies recently that I've seen that have just not lived up to their IMDb rating promise, and this is one of them. Never in a million years is this a 7.7-star (at the time of writing) movie.

First, the positives. ""Get Out"" was very well acted, and all the characters were believable. And I was gripped enough throughout to not be checking my phone every few minutes -- in that respect, it's a decent enough movie.

I note quite a lot of the reviews here dwell on the racial theme of the film, and give it 1-star on the basis that they think that such racism isn't real, and the film is simply ""paranoid."" My hunch is these people are probably white and thus don't really know what it's like to live as a black person in a white society. So to mark it down on that basis is a nonsense.

I'm marking it down because it wasn't a particularly great horror movie, it was somewhat predictable in parts, and I found it a little weird in parts too. For example, the movie was pretty serious largely -- not something you would call a comedy -- but there were segments that seemed to jump into jokey wisecrack-comedy territory, notably around the main character's TSA-employed buddy Rod Williams (played by Lil Rel Howery). Those scenes just seemed a little out of kilter with the rest of the movie.

I also thought the ending was a bit rubbish.

Overall, ""Get Out"" is a watchable movie, but it simply is not Oscar material, and 7.7 on the IMDb Richter scale is just wrong."
995,"1/10 | Get Out is an unusual suspense horror thriller Daniel Kaluuya is very good in his role but must be the replacement for James Franco who was odds on favourite for a nomination until ""allegations ""of misconduct at the 11th hour by actresses he had worked with scared off The Academy voters. It's quite a good movie I found the subject of Afro American slave zombies slightly uncomfortable and politically incorrect. The movie came out May last year so I had to hire it and watch on the small screen and it perhaps would have seemed better at the cinema as all movies worth seeing are but I'm certain Get Out doesn't deserve or have a hope of winning Best Picture, Best Actor, Best Director or Best Screenplay, all the categories of which it's been nominated for. I have only one question after seeing this movie , why was the director of Three Billboards Outside Ebbing Missouri Martin McDonagh so egregiously snubbed for a best director nomination when Jordan Peele managed a nomination for Get Out, which is a good movie but just doesn't deserve any of its nominations in my humble opinion..
3 out of 6 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
996,2/10 | 
997,2/10 | 
998,"1/10 | On a visit to his white girlfriend's parents a black guy finds his hosts have more than just a few awkward moments planned for him ...

Well paced thriller, with some creepy moments and a fair amount of gore, but not a real horror. The set up is nice and snappy, and we settle into a weekend that escalates from social antagonism to outright exploitation. The mood is developed through the alienated existence of the weird black characters, and there's plenty material on the theme of race, but the whole thing is let down by a ludicrously elaborate plot. There are echoes of the disturbing Skeleton Key, but this experience falls short by comparison.

The performances are solid, most memorable being from the actress playing the maid, who delivers some genuine weirdness. One character designed for comic relief is too deliberate, and fails to fit in to the plot at the very end. Direction and photography are good, and the music is cool.

Overall: well told story, but the concept is over the top."
999,7/10 | 
1000,"1/10 | There is no great suspense in the movie... Half an hour in the movie, you would understand whats happening... except, why it is happening. It is not a horror. It is a psycho thriller... and it was absolutely entertaining. I wouldn't say that the ""plot highlight"" has not been used earlier. but it has been done interestingly. It has its moments. And it was fun watching it.
3 out of 6 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
1001,"9/10 | I can't say this movie lives up to the hype, but I can't deny that it's good. What I liked most about it is the realistic vibe (dialogue, character interactions...).It also features interesting plot twists. However, if you hate movie clichés and plot inconsistencies and randomness (ecspecially towards the ending scene) this movie is not really for you. Still, it's an overall enjoyable experience.
3 out of 6 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
1002,4/10 | 
1003,"4/10 | Blah-blah-blah Oscar nominated necessity to fill in the white-guilted nominating committee because everybody is a racist, so sick of this protected-class blackish-noise!
9 out of 27 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
1004,"6/10 | It's very hard to describe a movie like ""Get Out"" without spoiling the secrets or the fun that makes the movie subversively dazzling and audaciously triumphant. I even had the decency to watch this movie without having to see the trailer. But knowing the premise right away, I knew that this was an unusual kind of horror movie, one that actually makes us think about ourselves once we leave the theater. Watching it in a crowded movie theater, I haven't seen a movie this stunning that made an audience feel uneasy since last summer's surprise hit (and my favorite horror movie of that year) ""Don't Breathe"". The opening scene sets up the premise immediately and then it'll come back to you later in the film because of the idea of it is surprising. The idea of an African-American being introduced to your significant other's parents and the fear of suburban life for a black male kicks off when photographer Chris (the wonderfully expressive British actor Daniel Kaluuya) asks his girlfriend, Rose (a remarkable film debut by Allison Williams of the HBO series ""Girls"") before they go to meet Rose's parents for the weekend: ""Do they know I'm black?"" She says no, but she did say that her father would've voted for Obama for his third term. Once we get to meet Dean (the incomparable Bradley Whitford) and Missy (the calm and comforting Catherine Keener), Rose's parents, they really do seem like really wholesome parents. After a few subtle, but very offhand remarks that Dean says (including that Obama line and also about Jesse Owens), you get the sense that something weird is slowly starting to go down. Even the happy, friendly maid Georgina, (Betty Gabriel), the groundskeeper, Walter (Marcus Henderson) and Rose's brother Jeremy (a eerie performance by Caleb Landry Jones) are acting quite odd. Even the relatives and friends Dean invited are making Chris and Rose feeling uncomfortable. Then that's when the shift start to change and Chris might need some help for his friend, a TSA Agent named Rod (Lil Red Howery, a showstopping comic performance) to uncover some secrets. This is where I stop and tell you who the real star of this movie is. This movie, of course, marks the directorial debut of Jordan Peele, one half of ""Key & Peele"". Here he had the audacity to make a horror/comedy with social themes that a lot of people are still talking about. What people should take away from this are the themes of white conservatism, how black lives really do matter, and how most people ignore the rules of society and prefer to live their lives the way they think they should. White it's sublimely scary and, aside for a brief moment, not over-the-top gory, it's wickedly funny as hell. Most of that humor, which Peele is known to do on the ""Key & Peele"" show, comes from Rod, especially in a pivotal scene with a social moment interwoven into it when he tries to tell someone about Chris' situation, but no one believes him. Plus the score by Michael Abels, the editing by Gregory Plotkin, the production design by Rusty Smith and the cinematography by Toby Oliver are phenomenally first-rate. ""Get Out"" is the first great movie of 2017. It plays its game straight and the movie weaves its powerfully scary spell on you. And, to my surprise, it kept me on the edge of my seat and refuses to reveal its cards to us until the right moment when it starts to get a little queasy for us, the audience members. And in this day and age, we needed a movie like this that encourages us to stay woke. Something also tells that I'm looking forward to see what other tricks Jordan Peele has up his sleeve. This isn't the traditional horror movie you always prefer, it's an original horror movie with a feeling and a savvy social side to match."
1005,"7/10 | Movie critiques have lost it giving this movie a 100% combined review score. Look, this is a solid little thriller, like the Gift meets Stepford Wives. This is almost a NO star cast. This is a low budget movie. It comes at a time when racial tensions need help and healing and not division and celebrating black vs white. Our country needs to get back on track FAST. Movie tickets are 10.00 each now. Wait for red box.
9 out of 27 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
1006,"7/10 | Boring. 30 minutes in and nothing has happened. YAWN
6 out of 16 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
1007,7/10 | 
1008,1/10 | 
1009,"8/10 | Excellent ""slow cook"" Horror movie!!! The pacing is well timed, and the reveals happen naturally. The plot is deeper than race, but you have to watch the movie to understand why. Decent sound design (tea cup) and I love the 50+ mm CUs (when they happen, it's for a reason). Good comedic timing to release tension.. Seriously, it's an awesome Horror movie.
7 out of 20 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
1010,1/10 | 
1011,"1/10 | My lady sent me the trailer to this movie months ago. I was immediately hooked and couldn't wait to see it. Last night I had my chance to see it...and was thoroughly pleased.

From the previews, you get the idea of the movie. Black guy, white girl, unsure about the family's reception; we get it. The creepy twists and turns, with a drizzle of comedy, makes this movie good entertainment with obvious social undertones...or does it.

From the mind of Jordan Peele, comes a fresh look on horror. Definitely a movie to check out.
7 out of 20 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
1012,10/10 | 
1013,"10/10 | While the movie dances around several racist cliché's, this film explores the possibilities of high-tech slavery involving very wealthy white families, hypnosis, and some rogue neuro surgery.

Oh, and throw in the most devious and evil girlfriend on the planet.

This story is well presented and flows at an enjoyable rate. Even though the main plot involves some pretty serious issues, there are plenty of very creepy moments as well as laughs to go along with the drama.

Very unique and a keeper as far as spending the money for a first run viewing.

Highly recommended, but maybe not for young children (seriously).
7 out of 20 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
1014,"10/10 | Video review here: https://www.youtube.com/watch?v=hA3- G0rDyTM&feature=youtu.be

Generally, horror films in this day and age aren't exactly the most congenial of sights for movie enthusiasts. From tired old clichés to a never-ending stream of unsatisfactorily constructed and acted money-grubbing PG-13-ers, expectations are set at an all time Mariana Trench low. A silver lining to that is the unequivocal awe when true effort is exerted and consequently a beacon of hope radiates with incandescent luminosity for the horror world. That is the case with Jordan Peele's horror debut ""Get Out"". It had a shite trailer, an unoriginal title, but it veritably blew me away. Ladies and gentlemen of the film industry, this is how to make a horror film properly.

The film starts off with at night with a young black man in a white suburban neighborhood who is abducted in an emphatically creepy manner. Cut to African- American photographer Chris Washington (Daniel Kaluuya). He drives with his white girlfriend Rose Armitage (Allison Williams) to her parents' estate. They have no idea that he is black. Rose's father Dean is a neurosurgeon and her mother Missy is a psychiatrist. While they are friendly to Chris (in a rather patronizing kind of way), he becomes increasingly uncomfortable when he notices how strangely groundskeeper Walter (Marcus Henderson and maid Georgina (Betty Gabriel), who are both black, are acting very strangely. We find out that things aren't the way they appear at this place.

The true genius in this film laid in its virtuosity at provoking laughs, unmitigated tension and consternation, and most importantly some post-viewing dialogue as a result of its blistering social commentary on race relations in the United States that is shrouded in this impeccable concoction of horror and satirical comedy. When it came to the way Rose's dad was attempting to pander to Chris with some ""black"" words in addition to the statements made by the creepy old white people at the garden party about ""blacks being in style"", those kinds of scenes in my opinion served to highlight the subtle racism that may exist among some of the politically correct. Moreover, other scenes throughout the film play on our assumptions, whether we're black or white, about how certain events would play out given the race that's involved in them. The overall message is left in the eye of the beholder and that's part of the film's beauty; it's so bizarre it keeps us thinking. When was the last time a horror film truly did that?

I am so glad that Jordan Peele chose to keep the jump scares to a minimum, instead opting for tension, unpredictability, and a surreal atmosphere. We the audience are just as confused as Chris as to what the hell is going on and are equally as freaked out. The film's ability to consistently scare, perplex, and amuse the viewer kept me guessing, which resulted in some heavy satisfaction to the slightly predictable payoff. Additionally, Chris is a character we can actually care about. There is a trouble inside Chris's mind which I will not spoil that is touched on in a very bizarre but earnest kind of way.

It wasn't just atmosphere from a technical standpoint that gave the horror its unprecedented vigor, it's the performances. Daniel Kaluuya's subtle performance conveyed suspicion, restlessness, and all out fear with immaculate panache, topped with an American accent so spot on that some slight incredulity struck me when I found out the actor is an Englishman. Two exceptionally noteworthy performances were by Marcus Henderson and Betty Gabriel, the groundskeeper and housemaid respectively. Georgina's zombified behavior in particular is the kind that will give you some kind of paralysis as you're watching her, she truly was frightening. Of course some much needed credit should also go to Milton Howery who played Rod, a hardworking TSA officer and Chris's dear friend. Not only was he fantastic in providing some comedic relief, a good deal of his hilarious lines brought out some of the film's satirical elements; a truly lovable character indeed.

Don't be fooled by the trailer of ""Get Out"", the film is nothing of the sort. With cutting edge performances, genuine thrills, eerie atmosphere, subversion of horror tropes, and scathing social commentary on race relations in America, ""Get Out"" reassures us that originality is something very possible in the horror world no matter how absent it may be from the majority of such films. With 100% approval rating on Rotten tomatoes from 131 professional critics at the time of this writing, will ""Get Out"" be the first horror movie in a while to get nominated for an Oscar in a major category? Probably. When the audience in your packed theater cheer and clap, then you know something is done right. Truly remarkable; I say ""get out"" of your chair or whatever it is you're sitting on and get your spindly ass over to that theater pronto.

My score: 9/10. Absolutely brilliant."
1015,"10/10 | I am kinda confused about the high ratings for this turd of a movie. This has a lame storyline and bad acting. Probably one of the worst horror flicks I have seen.
12 out of 40 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
1016,"7/10 | The clue is in the mane. Unfortubatelly we end up not getting it and one hour later we understand that the writing was on the wall and we had refused to read. Film production has been so low that recently there are 2 or 3 good movies to watch every year only. Films like these makes me wonder and think that some producers are 3 year old kids who are in love with sponge bob and have not seen a decent movie in all their lives. Why would anybody put two dollar together to produce such a nonsense.
9 out of 28 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
1017,"1/10 | Couldn't find any reason to like this movie, so incredibly stupid.
5 out of 13 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
1018,"9/10 | I admire Get Out for what it's trying to do, and I give it points for creating something new in the horror genre. But the patronising social commentary hammered into the audience via a completely unbelievable scenario makes it feel like a crappy episode of Black Mirror.
5 out of 13 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
1019,"9/10 | Kidding with hypnosis, giving life and rebuilding awful false myths from the past century. Ridiculous ideas really. The movie has its value on interpretations. Only that. Big disappointment because the movie has great actors, scenario...but for god sake, anyone who knows hypnosis or anyone with his feet on the ground knows how irrational this movie is. And please don't even call it ""fiction"" , because that's not the assumption of the movie.
5 out of 13 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
1020,5/10 | 
1021,8/10 | 
1022,"9/10 | Relative talked me into seeing this and wish I would have resisted paying regular prices. Plot was predictable and everything except ending was blasé. Oddly, audiences and reviewers give this more credit than I think it deserves. Main star Daniel Kaluuya gets credit as he's come far from other movies I've seen him in BUT his acting was just barely above average. Co-star Milton ""Lil Rel"" Howery made movie worth sitting thru and stole show. Look forward to seeing his other performances.

Best thing about movie is it (ideally) makes folks think about race-relations and is there some things still going on that make us go, Hmmm....
5 out of 13 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
1023,"9/10 | This movie is bad to worst. Probably the only good point about is the fact that most characters and the director are black which seem to be hitting the right vibe of ""politically correct"" movies.
10 out of 33 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
1024,"8/10 | Had the antagonists been black, this movie would have been banned! The message that this movie sends is divisive in the multi-cultural world. Notwithstanding, the story was interesting. Hence, 2 stars.
6 out of 17 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
1025,"9/10 | This is a horrible film, not only a horror film. Some of the reviews are trying to read deep meanings into it or to discover elements of humor, others praise it as a satirical look at society today and an astute comment on race relations. If any of these are actually contained in the film, they passed me by completely. It is a desperately nasty, empty and vacuous piece of work that leaves a bad taste in the mouth and a sick feeling in the stomach. Perhaps that is what fans of horror films are looking for, but not me.
6 out of 17 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
1026,"9/10 | The movie was decent. Storyline was original, and the acting was great by most. I didn't leave feeling like I had watched something incredible or that I would really ever need to see it again. But I was glad I watched it once, I suppose. In the very least so I could be part of the worldwide conversation about the movie. It wasn't my favorite but it was far from terrible.
7 out of 21 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
1027,"8/10 | I have seen bad comments on the trailer of this movie on some social media websites. Some people think this movie promotes division between races, we should be united, blah blah blah. This is just a movie! Just because this is about a racist white family does not mean it applies to you, or to all white people. This might sound obvious but you know that there's always dumb people who will take it personally. My advice: ignore bad reviews based on ""racism""; it is an unfounded reason not to watch this movie.

Now, the movie was good. Daniel Kaluuya is a great actor! This is not precisely a horror movie. The trailer makes it seem scarier, when it actually is just suspenseful and creepy. There were some laugh-out-loud moments of comic relief. Even though the movie is 103 minutes, it feels shorter. The ending was a bit underwhelming but left me content.

Go see this movie. And if you think it's too scary go see it anyway. I asure you it's not. It was great fun for me and my family.

7/10 for me."
1028,8/10 | 
1029,"9/10 | What a movie.I just finished watching this a few minutes ago and for me it is one of the best, if not the best horror film of this decade. Kaluuya's performance was astonishing and made me speechless
4 out of 10 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
1030,"9/10 | I guess this film was not made for me, but I saw all the gags and ""twists"" coming as if i was watching an episode of The Twilight Zone WHICH, btw... the director IS reviving for TV soon. That seems to support my theory that he just borrowed from the genius of Rod Serling. I'm glad a black man is nominated for a directing oscar but i sure hope he doesn't win because it will mean oscar voters are not paying attention to the art, but the news.

I DO although, would support the lead actor winning for best actor. He was incredibly vulnerable as the intended victim! but it bills itself as a comedy, which i saw zero proof of...but for the comic irony of a current day white family harkening back 100+ years. Ha-ha?
4 out of 10 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
1031,"6/10 | I don't even know where to start.

Genre - First off, do people today even know what the word ""horror"" mean??? Cause this... was no where near horror genre. Couple of kills doesn't make it a horror.

Plot - The idea is OK but the realization is poor. Why? Because the build up in the first half of the movie is soooo boring beyond belief and then the second half of the movie is kind of rushed. All the killings in the end happened so fast in a pretty simple way without any suspense.

Cast - The family acted OK but the main character and his friend stole the show for me.

Level of entertainment - Not so good. It was OK to fill 2 hours but the movie is forgettable, no parts are worth mentioning and I wouldn't be crazy to watch it again (ever) or recommend to my friends.

My review/score is more negative then it should be just to balance the IMDb score that was achieved by people on drugs. ;)"
1032,"8/10 | I have gone to the movies for 60 years. I planned on seeing a good horror flick this time. Not so. This movie was a thin line between horror and comedy. There were some familiar faces. Too bad they decided to be in this movie. When I saw the gross was 150 million I couldn't believe it. They must be laughing all the way to the bank. A 6 rating is generous. I wouldn't tell you not to go if you are not already part of the 150 million, but this flick leaves a lot to be desired.
4 out of 10 found this helpful. Was this review helpful? Sign in to vote.
Permalink"
1033,"9/10 | There hasn't been one horror movie in the past decade to get the critically acclaimed ratings and reviews as Get Out. As this review is being written, Get Out has an impressive 8.3 rating on IMDb and an astonishing 99% on rotten tomatoes. Those types of numbers scream potential Oscar nominations for Get Out, and by receiving this type of notoriety, the potential of the horror film/genre getting to an Oscar platform again would be monumental. However, even before seeing the film and understanding the current political environment in America, it is apparent the social message is the primary reason the film is being universally praised by critics.

It's also clear the best way to view Get Out is in theaters as it feeds the crowd with a variety of emotions that include laughter, intensity, and awkwardness. Jordan Peele did marvelously in his directorial debut, shooting scenes with comedic value swiftly into serious, nerve- wrecking sequences. Peele also have written the story-line came up with a very original concept of a social horror film. Racial dialogue was constant throughout, not subtle in the least, with most lines hitting well but there were a handful of duds. The cast did great with their dialogue and were well rounded in terms of performances and screen time. It seemed supporting actress Betty Gabriel as Georgina, really stood out in her role, executing it perfectly but Daniel Kaluuya and Allison Williams were spectacular in their leads too.

Possible spoilers ahead... The biggest faults in the movie came in the last fifteen-twenty minutes, when it took a different direction in its plot and drew sharp comparisons to a past horror film, Skeleton Key. The very ending was however the most questionable aspect taking the easy, cherry route instead of a darker, more socially compelling ending. There was an opportunity to hit big with the ending but it missed. Get Out is an amazing original movie, great for the horror genre, and will be cheered heavily for possible Oscars. However, does it deserve the high acclaims it currently has? Answer is a definite no."
1034,"9/10 | Three and a half stars out of five. I deducted a half-star for the fact that it's obviously an amateur production, made much better than it should be by some very talented people who have bright, bright futures ahead of them. All in all, a fine effort and a load of fun for people who really dislike typical slasher films, because this isn't one.

Nowadays, a ""horror"" film can be just about anything including pornography, ersatz ""snuff"" films and documentaries about the government. We all seem to be a trifle more mature now than we used to be, and Hollywood is throwing everything at us hoping something will stick. So it's fun and cool when a low-budget film doesn't just cop- out with gross-out horror or get lost in politics. I appreciate it when the filmmaker actually gives the audience credit for having a brain and using it.

The camera work is this movie is seldom bad and often very good. The acting is surprisingly good, considering that we're not talking A- list cast here. The story is strong enough to keep you guessing and the little ""touches"" that make or break a story like this are there.

So what's wrong, if anything? Well, like a lot of low-budget ""thrillers,"" Get Out begins to lose a little momentum as the requisite creepy buildup begins to change over into the inevitable ""action."" I don't think it's a spoiler to say that things get more fast-paced as the film progresses. It's during this part of the film where we begin to wonder just how far ""over the top"" we're going to go--too far into ""that's dumb"" land or not far enough into ""that's boring"" land. Get Out almost pulls it off-- but in the end we feel that we watched a really good low-budget thriller, not a true work of art that will go down in history. On the other hand, most people don't like art films anyway. Seven out of Ten."
